Dataset,Samples,Features,Classes,Imbalance Ratio
adult,48842,14,2,23.9% min
aps_failure,75471,170,2,1.8% min
bank,45211,16,2,11.7% min
breast_cancer,699,9,2,34.5% min
census_kdd,99999,41,2,6.2% min
covertype,99999,54,2,48.8% min
credit_fraud,99999,29,2,0.2% min
credit_g,1000,20,2,30.0% min
default_credit,30000,23,2,22.1% min
diabetes,768,8,2,34.9% min
electricity,45312,8,2,42.5% min
heart_disease,270,13,2,44.4% min
higgs,100000,28,2,47.0% min
ionosphere,351,34,2,35.9% min
kddcup99,99999,41,2,19.7% min
magic,19020,10,2,35.2% min
mammography,11183,6,2,2.3% min
mushroom,8124,22,2,48.2% min
phoneme,5404,5,2,29.3% min
sonar,208,60,2,46.6% min
spambase,4601,57,2,39.4% min
